CGATS.17
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
56	0	127	0	0.0758904	0.1517808	0.0252968
57	0	127	25	0.0776449	0.1524826	0.0345371
58	0	127	51	0.0818652	0.1541707	0.0567639
59	0	127	76	0.0889341	0.1569983	0.0939935
60	0	127	102	0.0998706	0.1613729	0.1515924
61	0	127	127	0.114194	0.1671022	0.227029
62	0	127	153	0.133382	0.1747774	0.3280858
63	0	127	178	0.1562407	0.1839209	0.4484748
64	0	127	204	0.1848696	0.1953725	0.5992541
65	0	127	229	0.2173039	0.2083462	0.7700747
66	0	127	255	0.2563712	0.2239731	0.975829
67	0	153	0	0.1139073	0.2278147	0.0379691
68	0	153	25	0.1156618	0.2285165	0.0472094
69	0	153	51	0.1198821	0.2302046	0.0694363
70	0	153	76	0.126951	0.2330322	0.1066658
71	0	153	102	0.1378875	0.2374068	0.1642647
72	0	153	127	0.1522109	0.2431361	0.2397013
73	0	153	153	0.1713989	0.2508113	0.3407581
74	0	153	178	0.1942576	0.2599548	0.4611472
75	0	153	204	0.2228866	0.2714064	0.6119264
76	0	153	229	0.2553209	0.2843801	0.782747
77	0	153	255	0.2943881	0.300007	0.9885013
78	0	178	0	0.159197	0.318394	0.0530657
79	0	178	25	0.1609515	0.3190957	0.062306
80	0	178	51	0.1651717	0.3207839	0.0845328
81	0	178	76	0.1722407	0.3236114	0.1217624
82	0	178	102	0.1831772	0.327986	0.1793613
83	0	178	127	0.1975005	0.3337154	0.2547978
84	0	178	153	0.2166885	0.3413906	0.3558546
85	0	178	178	0.2395472	0.3505341	0.4762437
86	0	178	204	0.2681762	0.3619856	0.627023
87	0	178	229	0.3006105	0.3749594	0.7978435
88	0	178	255	0.3396778	0.3905863	1.0035978
89	0	204	0	0.2159192	0.4318384	0.0719731
90	0	204	25	0.2176737	0.4325402	0.0812134
91	0	204	51	0.221894	0.4342283	0.1034402
92	0	204	76	0.2289629	0.4370559	0.1406698
93	0	204	102	0.2398994	0.4414305	0.1982687
94	0	204	127	0.2542228	0.4471598	0.2737052
95	0	204	153	0.2734108	0.454835	0.374762
96	0	204	178	0.2962695	0.4639785	0.4951511
97	0	204	204	0.3248984	0.4754301	0.6459304
98	0	204	229	0.3573327	0.4884038	0.8167509
99	0	204	255	0.3964	0.5040307	1.0225052
100	0	229	0	0.2801808	0.5603617	0.0933936
101	0	229	25	0.2819353	0.5610635	0.1026339
102	0	229	51	0.2861556	0.5627516	0.1248608
103	0	229	76	0.2932245	0.5655792	0.1620903
104	0	229	102	0.304161	0.5699538	0.2196892
105	0	229	127	0.3184844	0.5756831	0.2951258
106	0	229	153	0.3376724	0.5833583	0.3961826
107	0	229	178	0.3605311	0.5925018	0.5165717
108	0	229	204	0.3891601	0.6039534	0.6673509
109	0	229	229	0.4215944	0.6169271	0.8381715
110	0	229	255	0.4606616	0.632554	1.0439258
111	0	255	0	0.3575843	0.7151687	0.1191948
112	0	255	25	0.3593388	0.7158705	0.1284351
113	0	255	51	0.3635591	0.7175586	0.1506619
114	0	255	76	0.370628	0.7203862	0.1878915
115	0	255	102	0.3815645	0.7247608	0.2454904
116	0	255	127	0.3958879	0.7304901	0.3209269
117	0	255	153	0.4150759	0.7381653	0.4219837
118	0	255	178	0.4379346	0.7473088	0.5423728
119	0	255	204	0.4665636	0.7587604	0.6931521
120	0	255	229	0.4989979	0.7717341	0.8639726
121	0	255	255	0.5380651	0.787361	1.0697269
122	25	0	0	0.0040089	0.0020671	0.0001879
123	25	0	25	0.0057634	0.0027689	0.0094282
124	25	0	51	0.0099837	0.004457	0.0316551
125	25	0	76	0.0170526	0.0072846	0.0688846
126	25	0	102	0.0279891	0.0116592	0.1264835
127	25	0	127	0.0423125	0.0173885	0.2019201
128	25	0	153	0.0615005	0.0250637	0.3029769
129	25	0	178	0.0843592	0.0342072	0.423366
130	25	0	204	0.1129882	0.0456588	0.5741452
131	25	0	229	0.1454225	0.0586325	0.7449658
132	25	0	255	0.1844897	0.0742594	0.9507201
133	51	0	0	0.0136521	0.0070394	0.0006399
134	51	0	25	0.0154066	0.0077412	0.0098803
135	51	0	51	0.0196269	0.0094293	0.0321071
136	51	0	76	0.0266958	0.0122568	0.0693367
137	51	0	102	0.0376323	0.0166314	0.1269356
138	51	0	127	0.0519557	0.0223608	0.2023721
139	51	0	153	0.0711437	0.030036	0.3034289
140	51	0	178	0.0940024	0.0391795	0.423818
141	51	0	204	0.1226313	0.0506311	0.5745972
142	51	0	229	0.1550656	0.0636048	0.7454178
143	51	0	255	0.1941329	0.0792317	0.9511721
144	76	0	0	0.0298042	0.0153678	0.0013971
145	76	0	25	0.0315587	0.0160696	0.0106374
146	76	0	51	0.035779	0.0177577	0.0328642
147	76	0	76	0.0428479	0.0205853	0.0700938
148	76	0	102	0.0537844	0.0249599	0.1276927
149	76	0	127	0.0681078	0.0306892	0.2031292
150	76	0	153	0.0872958	0.0383644	0.304186
151	76	0	178	0.1101545	0.0475079	0.4245751
152	76	0	204	0.1387835	0.0589595	0.5753544
153	76	0	229	0.1712178	0.0719332	0.7461749
154	76	0	255	0.210285	0.0875601	0.9519292
155	102	0	0	0.0547937	0.028253	0.0025685
156	102	0	25	0.0565482	0.0289548	0.0118088
157	102	0	51	0.0607684	0.0306429	0.0340356
158	102	0	76	0.0678374	0.0334705	0.0712652
159	102	0	102	0.0787739	0.0378451	0.1288641
160	102	0	127	0.0930972	0.0435744	0.2043006
161	102	0	153	0.1122852	0.0512496	0.3053574
162	102	0	178	0.1351439	0.0603931	0.4257465
163	102	0	204	0.1637729	0.0718447	0.5765258
164	102	0	229	0.1962072	0.0848184	0.7473463
165	102	0	255	0.2352745	0.1004453	0.9531006
166	127	0	0	0.087522	0.0451285	0.0041026
167	127	0	25	0.0892765	0.0458303	0.0133429
168	127	0	51	0.0934968	0.0475184	0.0355697
169	127	0	76	0.1005657	0.050346	0.0727993
170	127	0	102	0.1115022	0.0547206	0.1303982
171	127	0	127	0.1258256	0.06045	0.2058348
172	127	0	153	0.1450136	0.0681252	0.3068915
173	127	0	178	0.1678723	0.0772686	0.4272806
174	127	0	204	0.1965012	0.0887202	0.5780599
175	127	0	229	0.2289355	0.1016939	0.7488805
176	127	0	255	0.2680028	0.1173209	0.9546347
177	153	0	0	0.1313658	0.0677355	0.0061578
178	153	0	25	0.1331203	0.0684373	0.0153981
179	153	0	51	0.1373405	0.0701254	0.0376249
180	153	0	76	0.1444094	0.0729529	0.0748545
181	153	0	102	0.1553459	0.0773275	0.1324534
182	153	0	127	0.1696693	0.0830569	0.2078899
183	153	0	153	0.1888573	0.0907321	0.3089467
184	153	0	178	0.211716	0.0998756	0.4293358
185	153	0	204	0.240345	0.1113272	0.5801151
186	153	0	229	0.2727793	0.1243009	0.7509356
187	153	0	255	0.3118465	0.1399278	0.9566899
188	178	0	0	0.1835969	0.0946671	0.0086061
189	178	0	25	0.1853514	0.0953689	0.0178464
190	178	0	51	0.1895717	0.097057	0.0400732
191	178	0	76	0.1966406	0.0998846	0.0773028
192	178	0	102	0.2075771	0.1042592	0.1349017
193	178	0	127	0.2219005	0.1099886	0.2103383
194	178	0	153	0.2410885	0.1176638	0.3113951
195	178	0	178	0.2639471	0.1268072	0.4317842
196	178	0	204	0.2925761	0.1382588	0.5825634
197	178	0	229	0.3250104	0.1512325	0.753384
198	178	0	255	0.3640777	0.1668595	0.9591383
199	204	0	0	0.2490128	0.1283972	0.0116725
200	204	0	25	0.2507673	0.129099	0.0209128
201	204	0	51	0.2549876	0.1307872	0.0431396
202	204	0	76	0.2620565	0.1336147	0.0803692
203	204	0	102	0.272993	0.1379893	0.1379681
204	204	0	127	0.2873164	0.1437187	0.2134046
205	204	0	153	0.3065044	0.1513939	0.3144614
206	204	0	178	0.3293631	0.1605374	0.4348505
207	204	0	204	0.3579921	0.1719889	0.5856298
208	204	0	229	0.3904264	0.1849627	0.7564503
209	204	0	255	0.4294936	0.2005896	0.9622046
210	229	0	0	0.3231238	0.1666107	0.0151464
211	229	0	25	0.3248783	0.1673125	0.0243868
212	229	0	51	0.3290986	0.1690006	0.0466136
213	229	0	76	0.3361675	0.1718282	0.0838431
214	229	0	102	0.347104	0.1762028	0.141442
215	229	0	127	0.3614274	0.1819321	0.2168786
216	229	0	153	0.3806153	0.1896073	0.3179354
217	229	0	178	0.403474	0.1987508	0.4383245
218	229	0	204	0.432103	0.2102024	0.5891037
219	229	0	229	0.4645373	0.2231761	0.7599243
220	229	0	255	0.5036046	0.238803	0.9656786
221	255	0	0	0.4123908	0.212639	0.0193308
222	255	0	25	0.4141453	0.2133408	0.0285711
223	255	0	51	0.4183656	0.2150289	0.050798
224	255	0	76	0.4254345	0.2178565	0.0880275
225	255	0	102	0.436371	0.2222311	0.1456264
226	255	0	127	0.4506944	0.2279604	0.221063
227	255	0	153	0.4698824	0.2356356	0.3221198
228	255	0	178	0.4927411	0.2447791	0.4425089
229	255	0	204	0.52137	0.2562307	0.5932881
230	255	0	229	0.5538043	0.2692044	0.7641087
231	255	0	255	0.5928716	0.2848313	0.969863
232	25	25	0	0.0074851	0.0090194	0.0013466
233	25	51	0	0.0158467	0.0257426	0.0041338
234	25	76	0	0.0298522	0.0537537	0.0088023
235	25	102	0	0.0515206	0.0970904	0.0160251
236	25	127	0	0.0798993	0.1538479	0.0254847
237	25	153	0	0.1179163	0.2298818	0.038157
238	25	178	0	0.1632059	0.3204611	0.0532536
239	25	204	0	0.2199281	0.4339055	0.072161
240	25	229	0	0.2841898	0.5624288	0.0935815
241	25	255	0	0.3615933	0.7172358	0.1193827
242	51	25	0	0.0171283	0.0139917	0.0017987
243	51	51	0	0.0254898	0.0307149	0.0045859
244	51	76	0	0.0394954	0.0587259	0.0092544
245	51	102	0	0.0611637	0.1020626	0.0164772
246	51	127	0	0.0895425	0.1588202	0.0259367
247	51	153	0	0.1275594	0.234854	0.0386091
248	51	178	0	0.1728491	0.3254333	0.0537056
249	51	204	0	0.2295713	0.4388778	0.072613
250	51	229	0	0.2938329	0.5674011	0.0940336
251	51	255	0	0.3712364	0.722208	0.1198347
252	76	25	0	0.0332804	0.0223201	0.0025558
253	76	51	0	0.041642	0.0390433	0.005343
254	76	76	0	0.0556475	0.0670544	0.0100115
255	76	102	0	0.0773159	0.1103911	0.0172343
256	76	127	0	0.1056946	0.1671486	0.0266939
257	76	153	0	0.1437116	0.2431825	0.0393662
258	76	178	0	0.1890012	0.3337618	0.0544627
259	76	204	0	0.2457234	0.4472062	0.0733701
260	76	229	0	0.3099851	0.5757295	0.0947907
261	76	255	0	0.3873886	0.7305365	0.1205919
262	102	25	0	0.0582698	0.0352053	0.0037272
263	102	51	0	0.0666314	0.0519285	0.0065144
264	102	76	0	0.080637	0.0799396	0.0111829
265	102	102	0	0.1023053	0.1232762	0.0184057
266	102	127	0	0.1306841	0.1800338	0.0278653
267	102	153	0	0.168701	0.2560677	0.0405376
268	102	178	0	0.2139906	0.3466469	0.0556341
269	102	204	0	0.2707129	0.4600914	0.0745415
270	102	229	0	0.3349745	0.5886147	0.0959621
271	102	255	0	0.412378	0.7434217	0.1217632
272	127	25	0	0.0909982	0.0520808	0.0052613
273	127	51	0	0.0993598	0.068804	0.0080485
274	127	76	0	0.1133653	0.0968151	0.012717
275	127	102	0	0.1350336	0.1401518	0.0199398
276	127	127	0	0.1634124	0.1969093	0.0293994
277	127	153	0	0.2014294	0.2729432	0.0420717
278	127	178	0	0.246719	0.3635225	0.0571683
279	127	204	0	0.3034412	0.4769669	0.0760757
280	127	229	0	0.3677029	0.6054902	0.0974962
281	127	255	0	0.4451064	0.7602972	0.1232974
282	153	25	0	0.1348419	0.0746878	0.0073165
283	153	51	0	0.1432035	0.091411	0.0101037
284	153	76	0	0.157209	0.119422	0.0147722
285	153	102	0	0.1788774	0.1627587	0.021995
286	153	127	0	0.2072562	0.2195163	0.0314546
287	153	153	0	0.2452731	0.2955501	0.0441269
288	153	178	0	0.2905627	0.3861294	0.0592234
289	153	204	0	0.347285	0.4995739	0.0781308
290	153	229	0	0.4115466	0.6280972	0.0995514
291	153	255	0	0.4889501	0.7829041	0.1253525
292	178	25	0	0.187073	0.1016194	0.0097648
293	178	51	0	0.1954346	0.1183426	0.012552
294	178	76	0	0.2094402	0.1463537	0.0172205
295	178	102	0	0.2311085	0.1896904	0.0244433
296	178	127	0	0.2594873	0.2464479	0.0339029
297	178	153	0	0.2975042	0.3224818	0.0465752
298	178	178	0	0.3427939	0.4130611	0.0616718
299	178	204	0	0.3995161	0.5265055	0.0805792
300	178	229	0	0.4637777	0.6550288	0.1019997
301	178	255	0	0.5411812	0.8098358	0.1278009
302	204	25	0	0.252489	0.1353496	0.0128312
303	204	51	0	0.2608506	0.1520727	0.0156184
304	204	76	0	0.2748561	0.1800838	0.0202869
305	204	102	0	0.2965245	0.2234205	0.0275097
306	204	127	0	0.3249032	0.280178	0.0369693
307	204	153	0	0.3629202	0.3562119	0.0496416
