CGATS.17
FORMAT_VERSION	2
MEASUREMENT_SOURCE	Simulated sRGB data
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z
END_DATA_FORMAT
NUMBER_OF_SETS	602
BEGIN_DATA
267	102	204	0	27.071287	46.009139	7.454152
268	102	204	255	45.119366	53.228370	102.507367
269	102	229	0	33.497452	58.861467	9.596207
270	102	229	255	51.545531	66.080699	104.649422
271	102	255	0	41.237801	74.342167	12.176323
272	102	255	25	41.413251	74.412346	13.100356
273	102	255	51	41.835279	74.581158	15.323038
274	102	255	76	42.542169	74.863914	19.045995
275	102	255	102	43.635819	75.301374	24.805884
276	102	255	127	45.068159	75.874310	32.349539
277	102	255	153	46.986959	76.641830	42.455219
278	102	255	178	49.272828	77.556177	54.494128
279	102	255	204	52.135725	78.701336	69.572053
280	102	255	229	55.379153	79.998707	86.654110
281	102	255	255	59.285880	81.561398	107.229539
282	127	0	0	8.752201	4.512854	0.410259
283	127	0	25	8.927650	4.583033	1.334292
284	127	0	51	9.349679	4.751845	3.556974
285	127	0	76	10.056569	5.034601	7.279931
286	127	0	102	11.150219	5.472061	13.039821
287	127	0	127	12.582559	6.044997	20.583475
288	127	0	153	14.501359	6.812517	30.689155
289	127	0	178	16.787227	7.726864	42.728064
290	127	0	204	19.650125	8.872023	57.805989
291	127	0	229	22.893553	10.169394	74.888046
292	127	0	255	26.800280	11.732085	95.463475
293	127	25	0	9.099817	5.208085	0.526131
294	127	25	255	27.147896	12.427316	95.579346
295	127	51	0	9.935976	6.880403	0.804851
296	127	51	255	27.984055	14.099634	95.858066
297	127	76	0	11.336529	9.681510	1.271702
298	127	76	255	29.384608	16.900742	96.324917
299	127	102	0	13.503364	14.015180	1.993980
300	127	102	255	31.551443	21.234411	97.047196
301	127	127	0	16.341241	19.690933	2.939939
302	127	127	255	34.389320	26.910164	97.993154
303	127	153	0	20.142935	27.294322	4.207171
304	127	153	255	38.191014	34.513553	99.260386
305	127	178	0	24.671899	36.352249	5.716825
306	127	178	255	42.719978	43.571480	100.770040
307	127	204	0	30.344121	47.696694	7.607566
308	127	204	255	48.392200	54.915925	102.660781
309	127	229	0	36.770286	60.549022	9.749621
310	127	229	255	54.818364	67.768254	104.802836
311	127	255	0	44.510635	76.029722	12.329737
312	127	255	25	44.686084	76.099901	13.253770
313	127	255	51	45.108113	76.268713	15.476452
314	127	255	76	45.815003	76.551469	19.199409
315	127	255	102	46.908653	76.988929	24.959299
316	127	255	127	48.340993	77.561865	32.502953
317	127	255	153	50.259792	78.329385	42.608633
318	127	255	178	52.545661	79.243732	54.647542
319	127	255	204	55.408559	80.388891	69.725467
320	127	255	229	58.651987	81.686262	86.807524
321	127	255	255	62.558714	83.248953	107.382953
322	153	0	0	13.136576	6.773547	0.615777
323	153	0	25	13.312025	6.843727	1.539810
324	153	0	51	13.734053	7.012538	3.762492
325	153	0	76	14.440944	7.295294	7.485449
326	153	0	102	15.534594	7.732754	13.245338
327	153	0	127	16.966933	8.305690	20.788993
328	153	0	153	18.885733	9.073210	30.894672
329	153	0	178	21.171602	9.987558	42.933582
330	153	0	204	24.034499	11.132716	58.011507
331	153	0	229	27.277928	12.430088	75.093563
332	153	0	255	31.184655	13.992779	95.668992
333	153	25	0	13.484192	7.468778	0.731649
334	153	25	255	31.532270	14.688010	95.784864
335	153	51	0	14.320351	9.141096	1.010369
336	153	51	255	32.368429	16.360328	96.063584
337	153	76	0	15.720904	11.942203	1.477220
338	153	76	255	33.768983	19.161435	96.530435
339	153	102	0	17.887739	16.275873	2.199498
340	153	102	255	35.935818	23.495105	97.252713
341	153	127	0	20.725616	21.951626	3.145457
342	153	127	255	38.773694	29.170858	98.198672
343	153	153	0	24.527310	29.555015	4.412688
344	153	153	255	42.575389	36.774246	99.465904
345	153	178	0	29.056274	38.612942	5.922343
346	153	178	255	47.104352	45.832174	100.975558
347	153	204	0	34.728496	49.957387	7.813084
348	153	204	255	52.776575	57.176619	102.866299
349	153	229	0	41.154660	62.809716	9.955138
350	153	229	255	59.202739	70.028947	105.008354
351	153	255	0	48.895010	78.290415	12.535255
352	153	255	25	49.070459	78.360595	13.459288
353	153	255	51	49.492487	78.529406	15.681969
354	153	255	76	50.199378	78.812162	19.404927
355	153	255	102	51.293028	79.249622	25.164816
356	153	255	127	52.725367	79.822558	32.708471
